timeframe,feature_name,source_phase,source_priority,candidate_role,selection_status,semantic_concept,expected_direction,monotonicity,event_conditioned,availability_count,missing_count,primary_comparison,primary_effect_size,secondary_evidence,max_abs_corr_same_timeframe,max_abs_corr_cross_timeframe,redundancy_group,redundancy_with,human_observation,case_study_support,known_counterexample,known_limitation,missing_semantics,selection_rationale,next_phase_usage
MONTHLY,range_position_24m,13D,HIGH,MONTHLY_PERMISSION,PRIMARY,long-term price location / early-to-extended zone,ZONE_DEPENDENT,NON_MONOTONIC_CANDIDATE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.8518518518518519,full coverage; separates early and extended endpoints,0.9345215759849906,0.7850945494994438,LONG_TERM_POSITION,close_vs_ma24_pct; higher_monthly_low_count_12m,captures long-horizon location without creating a trigger,천일고속 early-to-extended pair,very high values can be TOO_EXTENDED,40 calibration samples; zone shape not frozen,FULL_COVERAGE,Retains the monthly location semantic; its non-monotonic pattern rules out a one-sided hard gate.,GATE_OR_ZONE_CANDIDATE
MONTHLY,drawdown_from_12m_high,13D,HIGH,MONTHLY_PERMISSION,SECONDARY,recovery distance from recent high,CLOSER_TO_HIGHER_LEVEL,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.9506172839506172,strong label separation with distinct drawdown wording,0.775046904315197,0.7543859649122807,LONG_TERM_DRAWDOWN,range_position_24m,recovery context complements location,LS pair,can overlap strongly with long-term location,does not independently prove a weekly trigger,FULL_COVERAGE,Kept as a secondary recovery view because it describes a different reference frame from range position.,SCORE_CANDIDATE
MONTHLY,close_vs_ma24_pct,13D,HIGH,DROP_REDUNDANT,DROP,monthly moving-average price location,HIGHER_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.654320987654321,strong same-timeframe correlation with range position,0.9345215759849906,0.8275797373358349,LONG_TERM_POSITION,range_position_24m,weekly and daily MA-distance shadows also exist,천일고속 pair,correlation 0.935 with range_position_24m,price position is already represented more broadly,FULL_COVERAGE,Dropped as the strongest duplicate of retained range position; this is not an assertion that MA location lacks research value.,NO_PRODUCTION_ROLE_YET
MONTHLY,ma_alignment_score,13D,HIGH,MONTHLY_PERMISSION,SECONDARY,monthly moving-average order / structure,MORE_ALIGNED_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.5802469135802469,order information differs conceptually from raw price location,0.8219987327134267,0.7357769072111684,MA_ALIGNMENT,close_vs_ma24_pct; range_position_24m,long-horizon structure context,LS pair,shares location information in small sample,coarse discrete score and calibration-only evidence,FULL_COVERAGE,Retained behind range position because MA ordering may add structural context after redundant raw MA distance is removed.,SCORE_CANDIDATE
MONTHLY,monthly_down_month_ratio_12m,13D,HIGH,MONTHLY_PERMISSION,PRIMARY,down-month persistence / downside pressure,LOWER_IS_STRUCTURALLY_HEALTHIER,EXPECTED_NEGATIVE,NO,40,0,GOOD_TRIGGER vs FALSE_TRIGGER,-0.7777777777777778,high separation from failed structure and differs from price magnitude,0.790375068212926,0.7196499527317117,DOWNSIDE_PERSISTENCE,range_position_24m; close_vs_ma24_pct,adds persistence rather than another price level,안국약품 trigger anchor,can co-move with recovery and location,descriptive direction only; no cutoff,FULL_COVERAGE,Primary monthly complement to location because it preserves the separate question of persistent downside pressure.,GATE_CANDIDATE
MONTHLY,higher_monthly_low_count_12m,13D,HIGH,MONTHLY_PERMISSION,SECONDARY,monthly bottoming / higher-low structure,MORE_HIGHER_LOWS_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.7407407407407407,human-readable bottoming evidence,0.8572546488449628,0.7530637657431588,BOTTOMING,range_position_24m; close_vs_ma24_pct,monthly bottoming is not a weekly trigger,LS pair,correlation 0.817 with range position,may be redundant after location and persistence inputs,FULL_COVERAGE,Kept as secondary rather than promoted: it is interpretable bottoming evidence but substantially overlaps retained long-term location.,SCORE_CANDIDATE
MONTHLY,recent_3m_return,13D,HIGH,DIAGNOSTIC,DIAGNOSTIC,short-horizon monthly momentum / extension context,CONTEXT_DEPENDENT,NON_MONOTONIC_CANDIDATE,NO,40,0,GOOD_TRIGGER vs TOO_EXTENDED,0.5802469135802469,very strong extension contrast but mixed false-trigger evidence,0.6926829268292682,0.7943714821763602,MONTHLY_MOMENTUM,wma12_vs_wma26_pct,useful to explain late/extended cases,우리기술 good-vs-too-late pair,GOOD vs FALSE direction is mixed,too short-horizon to become a monthly permission primary,FULL_COVERAGE,Diagnostic only: it describes progress and extension but does not safely grant long-term permission by itself.,DIAGNOSTIC_ONLY
WEEKLY,post_breakout_min_low_vs_level_pct_26w,13E,HIGH,CONDITIONAL_STRUCTURE,CONDITIONAL,post-event breakout hold quality,HIGHER_HOLD_IS_BETTER_WHEN_EVENT_EXISTS,EXPECTED_POSITIVE,YES,19,21,GOOD_TRIGGER vs NO_SETUP,1.0,strong observed-event separation; event is machine-derived,0.843859649122807,0.7701754385964912,BREAKOUT_HOLD,rolling_low_4w_change,conditional breakout-quality context only,안국약품 trigger anchor,no recent event is not BAD,available for 19 of 40; EVENT_NOT_OBSERVED is semantic,EVENT_NOT_OBSERVED,Conditional by design: it can assess a recent observed breakout but cannot become a universal gate or a human-trigger replacement.,CONDITIONAL_SCORE_CANDIDATE
WEEKLY,close_vs_wma200_pct,13E,HIGH,WEEKLY_CORE,PRIMARY,weekly long-term resistance / price relation,ABOVE_OR_NEAR_RESISTANCE_IS_STRUCTURALLY_STRONGER,EXPECTED_POSITIVE,NO,30,10,GOOD_TRIGGER vs NO_SETUP,0.7916666666666666,directly maps to the human weekly-200MA-resistance observation,0.7583982202447164,0.7993325917686318,WEEKLY_RESISTANCE,wma52_slope_1w,weekly long-horizon resistance differs from daily timing,천일고속 pair,only 30 effective observations due to history,insufficient history is not a negative observation,INSUFFICIENT_HISTORY,"Primary weekly structural candidate because it directly represents resistance, while missing history remains non-scoring metadata.",GATE_CANDIDATE
WEEKLY,distance_to_prior_26w_high_pct,13E,HIGH,WEEKLY_CORE,PRIMARY,proximity to prior 26-week high,CLOSER_TO_PRIOR_HIGH_IS_MORE_READY,EXPECTED_POSITIVE,NO,40,0,GOOD_TRIGGER vs NO_SETUP,0.7530864197530864,full coverage and lower cross-timeframe redundancy than MA-distance shadows,0.48855534709193243,0.6155722326454034,PRIOR_HIGH_PROXIMITY,close_vs_wma200_pct,weekly readiness without inventing a trigger event,우리기술 pair,does not determine whether a breakout has occurred,no numeric proximity boundary is selected,FULL_COVERAGE,Primary weekly readiness semantic: it remains distinct from long-term resistance and does not create a machine stage.,SCORE_CANDIDATE
