component,timeframe,feature_name,candidate_id,candidate_type,direction,lower_bound,upper_bound,boundary_inclusive,semantic_state,provenance,calibration_evidence,case_study_evidence,known_counterexample,missing_behavior,selected_for_prototype,production_frozen
monthly_permission,MONTHLY,range_position_24m,range_position_24m_1,ZONE,NON_MONOTONIC,,0.25,YES,EARLY_REGIME,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNAVAILABLE,YES,NO
monthly_permission,MONTHLY,range_position_24m,range_position_24m_2,ZONE,NON_MONOTONIC,0.25,0.85,YES,PERMITTED_REGIME,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNAVAILABLE,YES,NO
monthly_permission,MONTHLY,range_position_24m,range_position_24m_3,ZONE,NON_MONOTONIC,0.85,,YES,LATE_OR_EXTENDED_REGIME,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNAVAILABLE,YES,NO
monthly_permission,MONTHLY,monthly_down_month_ratio_12m,monthly_down_month_ratio_12m_1,ZONE,LOWER_IS_BETTER,,0.4,YES,IMPROVING,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNAVAILABLE,YES,NO
monthly_permission,MONTHLY,monthly_down_month_ratio_12m,monthly_down_month_ratio_12m_2,ZONE,LOWER_IS_BETTER,0.4,0.6,YES,NEUTRAL,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNAVAILABLE,YES,NO
monthly_permission,MONTHLY,monthly_down_month_ratio_12m,monthly_down_month_ratio_12m_3,ZONE,LOWER_IS_BETTER,0.6,,YES,HEAVY_DOWNSIDE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNAVAILABLE,YES,NO
weekly_core,WEEKLY,close_vs_wma200_pct,close_vs_wma200_pct_1,BOUNDARY,HIGHER_IS_BETTER,,-0.1,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
weekly_core,WEEKLY,close_vs_wma200_pct,close_vs_wma200_pct_2,BOUNDARY,HIGHER_IS_BETTER,,-0.02,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
weekly_core,WEEKLY,distance_to_prior_26w_high_pct,distance_to_prior_26w_high_pct_1,BOUNDARY,SWEET_SPOT,,-0.25,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
weekly_core,WEEKLY,distance_to_prior_26w_high_pct,distance_to_prior_26w_high_pct_2,BOUNDARY,SWEET_SPOT,,-0.1,YES,CANDIDATE,ROUNDED_CALIBRATION_GAP,bounded rounded candidate; not optimized,critical-pair review,small in-sample calibration,UNKNOWN,YES,NO
